Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,p,Block Number,Point ID
-0.445482,-0.226993,0,0.49998,-4.53545,8.90757,-4.62732e-22,9.99575,-29.481,1,3590
-0.454046,-0.209326,0,0.499975,-4.18277,9.07841,-4.62732e-22,9.99565,-30.1246,1,3611
-0.46191,-0.191337,0,0.499971,-3.82367,9.23532,0,9.99557,-30.7863,1,3632
-0.469064,-0.173053,0,0.499968,-3.45871,9.37804,0,9.99552,-31.4649,1,3653
-0.475495,-0.154503,0,0.499967,-3.08846,9.50638,-9.7205e-24,9.99549,-32.1595,1,3674
-0.481194,-0.135715,0,0.499966,-2.71346,9.62012,-9.7205e-24,9.99548,-32.869,1,3695
-0.486153,-0.116718,0,0.499967,-2.33429,9.71912,0,9.9955,-33.5928,1,3716
-0.490363,-0.097541,0,0.49997,-1.95154,9.80319,0,9.99555,-34.3298,1,3737
-0.493818,-0.0782141,0,0.499973,-1.56579,9.87222,0,9.99562,-35.0795,1,3758
-0.496512,-0.0587665,0,0.499978,-1.17763,9.92611,0,9.99572,-35.8413,1,3779
-0.498443,-0.0392283,0,0.499984,-0.787662,9.96476,8.03725e-23,9.99584,-36.6154,1,3800
-0.499606,-0.0196294,0,0.499991,-0.39647,9.98812,1.27304e-22,9.99599,-37.4025,1,3821
-0.339437,-0.367197,0,0.500051,-7.34605,6.7808,0,9.99718,-24.6193,1,4642
-0.324752,-0.380228,0,0.500037,-7.60598,6.48746,-1.10304e-21,9.99691,-24.1657,1,4643
-0.309567,-0.392674,0,0.500025,-7.85423,6.18419,-1.10304e-21,9.99666,-23.7451,1,4644
-0.293906,-0.404515,0,0.500013,-8.09042,5.87144,0,9.99643,-23.3547,1,4645
-0.277794,-0.415733,0,0.500003,-8.31417,5.54969,0,9.99622,-22.993,1,4646
-0.261253,-0.426311,0,0.499994,-8.52517,5.21943,0,9.99604,-22.6594,1,4647
-0.244311,-0.436232,0,0.499987,-8.72306,4.88118,0,9.99589,-22.3535,1,4648
